"","X1.5ss","X3ss","X9.4ss","X0.8ss","nm"
"188",0.0592434832750969,0.0352870923283858,0.000940622099616986,0.0481442376206953,399.386666666667
"189",0.0651938108802626,0.0388670607234987,0.00128372876434643,0.0534015299229319,400.476666666667
"190",0.0718962556971782,0.0431901649980146,0.00179415912770948,0.058473050102933,401.57
"191",0.0788607496919868,0.0478210119474509,0.00206316041046467,0.0649688980636424,402.66
"192",0.0865845032000658,0.052436386666009,0.00236625427325578,0.0718886125875365,403.746666666667
"193",0.0919933322095666,0.0566838396891194,0.00264564371883176,0.0770561295116681,404.836666666667
"194",0.0962447727090309,0.0606447344346961,0.00318755388170911,0.0828833560217854,405.926666666667
"195",0.0973363345347339,0.062138050525031,0.00360483514218208,0.0865087519698382,407.013333333333
"196",0.0976071040143564,0.0628192522974549,0.00425434799217393,0.0881893762479153,408.103333333333
"197",0.099041538484637,0.0639504434319917,0.00499148674288819,0.0916061547818745,409.19
"198",0.102740890692727,0.066099497860836,0.00616519623729513,0.096670455428163,410.28
"199",0.104623351697368,0.0670498074911283,0.007160798118326,0.0996780243066673,411.366666666667
"200",0.106160333498577,0.0673684665164707,0.00877724693692187,0.101894401677792,412.45
"201",0.10441886123548,0.0648753983780508,0.010409047061891,0.100623557493929,413.54
"202",0.0974962237684697,0.0597328332262344,0.0113034462946042,0.0941731505824622,414.623333333333
"203",0.0899627140017472,0.0545334606621385,0.0122006915439783,0.0873869776705693,415.71
"204",0.0891128949164936,0.0533869507688668,0.0135563165049009,0.0872925386150483,416.796666666667
"205",0.0894623958455629,0.0531863630506556,0.0148260302002566,0.088175144559799,417.88
"206",0.0913206150131874,0.0535362812228571,0.0164745290817844,0.0896797516934665,418.966666666667
"207",0.0932052363964672,0.0541062626107347,0.0183680364627596,0.0910066979656667,420.05
"208",0.0907640162715454,0.0521311135190413,0.0191706329616443,0.0873608226322191,421.136666666667
"209",0.0891775061733886,0.0501446531720468,0.0197360981550808,0.0845580565624073,422.22
"210",0.0932748714904929,0.0510256131305827,0.021306830261784,0.0869856154336804,423.3
"211",0.0963126304231263,0.0511421697252083,0.022414385182463,0.0879640450592912,424.39
"212",0.100284689094185,0.0522625186988961,0.0237700403650096,0.0898506252391084,425.47
"213",0.107250027675627,0.0544294452428702,0.0253168192916825,0.0933045707142947,426.55
"214",0.114151998306659,0.0564331472675564,0.0264649677788943,0.0961463056152949,427.63
"215",0.124374692750049,0.0593745985403627,0.0283164554088354,0.101189868959677,428.72
"216",0.131932760261324,0.0612654036690729,0.0293140494284054,0.104332408154053,429.8
"217",0.139996365084203,0.0635107196412685,0.0304654746516972,0.108302509172348,430.88
"218",0.152070661908771,0.0683778183413517,0.0318499364894438,0.116092080616946,431.96
"219",0.166160222614162,0.0742503908999636,0.0345101191585794,0.125828739584105,433.04
"220",0.177770121305618,0.0790055975663238,0.0368506560683824,0.134993833116622,434.12
"221",0.183583903722993,0.0826260679091969,0.0376018220831539,0.139511313615027,435.2
"222",0.185613490835009,0.0855363810157873,0.0384180162825579,0.142218924332499,436.28
"223",0.183841403964338,0.0869002655489189,0.0384270912994738,0.143880568292489,437.36
"224",0.179246216243067,0.0876101652308323,0.0379005684006972,0.143728586643037,438.44
"225",0.172914303037497,0.0888947410530716,0.0373704454275527,0.143491170571177,439.52
"226",0.164806879084446,0.0893698636148184,0.0365451348862872,0.140176889171261,440.6
"227",0.15502128702683,0.0881191048737894,0.0352178943969771,0.136089270833253,441.67
"228",0.144039270499032,0.0861723638601757,0.0334550870368203,0.130107817879729,442.75
"229",0.135411376689308,0.085258347375848,0.0318135302600536,0.124816238909226,443.83
"230",0.126173911904465,0.0828377591100262,0.0304154935207718,0.119278644680095,444.91
"231",0.120451893780299,0.0814441580003595,0.0300850055332194,0.116163903165234,445.98
"232",0.117575320589025,0.0820943451911237,0.0299384318699063,0.114498314184992,447.06
"233",0.117902836465128,0.0852955971812759,0.030803312141552,0.115960146042308,448.136666666667
"234",0.118674311108287,0.0883217425116722,0.0319283096964091,0.118738413420163,449.21
"235",0.118479634466602,0.0909742548565266,0.0329713846559022,0.121209785937478,450.286666666667
"236",0.122070241534841,0.0968503932901694,0.0354194220883704,0.127137824086807,451.36
"237",0.125935002862863,0.102806921109332,0.0377240317067668,0.13223544295482,452.436666666667
"238",0.126628776987414,0.106853130361515,0.0394425496506815,0.134861931315357,453.51
"239",0.127103949596575,0.110295552095568,0.0418155791569659,0.137580630175178,454.583333333333
"240",0.128539274216759,0.113199860463545,0.0439595740915973,0.13983652935367,455.66
"241",0.13271758286395,0.118301490877643,0.0471970509461928,0.144750728747591,456.73
"242",0.136067701171445,0.122779615126043,0.0507020543248691,0.148869117988656,457.803333333333
"243",0.140013430260837,0.127435510789783,0.0542077888438004,0.153189792281989,458.876666666667
"244",0.145380581811798,0.132643102637904,0.0574649998326806,0.159413310392363,459.95
"245",0.152127693430362,0.138729746140953,0.0621745762774585,0.166088808783371,461.02
"246",0.161846620188734,0.146794271196399,0.0690122671125843,0.176798895282203,462.093333333333
"247",0.170388382179904,0.154250738079693,0.0747486666342728,0.185126881679798,463.163333333333
"248",0.180915130302384,0.163636809070109,0.0815574010071852,0.195332428114678,464.236666666667
"249",0.190623816229245,0.171748052836656,0.0889017103803803,0.204592791358744,465.306666666667
"250",0.199094256048174,0.179278213772608,0.0957390944974775,0.212284144464833,466.376666666667
"251",0.207349394636917,0.186301194024151,0.102486611441366,0.220377699054434,467.446666666667
"252",0.216827389720633,0.195770661379434,0.110125286747087,0.229732139953102,468.516666666667
