"","site","orient","disc","struc","both","Macroalgae","CCA","Empty.space","Red.algae","Detritus","Unidentified","Green.algae","Cyanobacteria","Bryozoa","Coral.recruit","EAM","Tube.worm"
"60","pb","top","74",3,"Upwards Picnic Bay",2.5,2.5,72.5,2.5,2.5,0,0,0,0,0,15,2.5
"61","pb","top","75",3,"Upwards Picnic Bay",2.5,0,7.5,0,85,0,0,0,0,0,5,0
"62","pb","top","76",3,"Upwards Picnic Bay",5,0,10,2.5,75,0,0,0,0,0,7.5,0
"63","pb","top","77",3,"Upwards Picnic Bay",62.5,0,10,0,27.5,0,0,0,0,0,0,0
"64","pb","bot","78",3,"Downwards Picnic Bay",0,7.5,2.5,2.5,0,0,0,0,77.5,0,10,0
"65","pb","bot","79",3,"Downwards Picnic Bay",0,0,2.5,2.5,0,0,0,0,60,0,22.5,12.5
"66","pb","bot","80",3,"Downwards Picnic Bay",0,2.5,7.5,30,2.5,0,0,0,2.5,0,35,20
"67","pb","bot","81",3,"Downwards Picnic Bay",0,15,10,7.5,2.5,0,0,0,10,0,27.5,27.5
"68","pb","bot","83",3,"Downwards Picnic Bay",0,5,2.5,5,2.5,0,0,0,75,0,10,0
"69","pb","bot","84",3,"Downwards Picnic Bay",0,12.5,2.5,5,7.5,0,0,0,25,0,37.5,10
