"","betas",".value"
"4501","b_scaleraw.x",-0.0316059110838386
"4502","b_scaleraw.x",0.21969879999908
"4503","b_scaleraw.x",0.168818955792561
"4504","b_scaleraw.x",0.0472961563598601
"4505","b_scaleraw.x",0.0176948485805064
"4506","b_scaleraw.x",0.168141806885271
"4507","b_scaleraw.x",0.120687258536073
"4508","b_scaleraw.x",0.180472519210758
"4509","b_scaleraw.x",0.142291525544198
"4510","b_scaleraw.x",0.288022577254341
"4511","b_scaleraw.x",-0.0552992598333576
"4512","b_scaleraw.x",0.0769708069638336
"4513","b_scaleraw.x",0.0144453696239883
"4514","b_scaleraw.x",0.244567309932242
"4515","b_scaleraw.x",0.022956277268858
"4516","b_scaleraw.x",0.0347635687824828
"4517","b_scaleraw.x",0.118843056972791
"4518","b_scaleraw.x",0.0536519912054759
"4519","b_scaleraw.x",0.0797959426045351
"4520","b_scaleraw.x",0.0865551828436418
"4521","b_scaleraw.x",0.0781110276906104
"4522","b_scaleraw.x",0.215252776952251
"4523","b_scaleraw.x",0.111107762032856
"4524","b_scaleraw.x",0.14536709019883
"4525","b_scaleraw.x",0.0967269751603922
"4526","b_scaleraw.x",0.0293849914963691
"4527","b_scaleraw.x",0.136127965083336
"4528","b_scaleraw.x",-0.00414473157566816
"4529","b_scaleraw.x",0.0404939559805828
"4530","b_scaleraw.x",0.176660776466937
"4531","b_scaleraw.x",0.0310984643812611
"4532","b_scaleraw.x",0.043765044174274
"4533","b_scaleraw.x",0.107586762487064
"4534","b_scaleraw.x",0.0606557792445043
"4535","b_scaleraw.x",0.116310706936615
"4536","b_scaleraw.x",0.114543197416058
"4537","b_scaleraw.x",0.0611851350091432
"4538","b_scaleraw.x",0.045264650273826
"4539","b_scaleraw.x",0.131363215990458
"4540","b_scaleraw.x",0.0242910884508761
"4541","b_scaleraw.x",0.194966021313903
"4542","b_scaleraw.x",0.0358578425770698
"4543","b_scaleraw.x",0.0204810182355817
"4544","b_scaleraw.x",0.104660103366404
"4545","b_scaleraw.x",0.119796850506055
"4546","b_scaleraw.x",-0.0277157468105782
"4547","b_scaleraw.x",-0.0114283867875653
"4548","b_scaleraw.x",0.0378055716200072
"4549","b_scaleraw.x",0.112049883601561
"4550","b_scaleraw.x",0.102113015215227
"4551","b_scaleraw.x",0.144860976906638
"4552","b_scaleraw.x",0.021108479480575
"4553","b_scaleraw.x",0.176057469371472
"4554","b_scaleraw.x",0.0891082073068438
"4555","b_scaleraw.x",0.0195224858973331
"4556","b_scaleraw.x",0.0898356783060204
"4557","b_scaleraw.x",0.0771343655574023
"4558","b_scaleraw.x",0.0186232093600263
"4559","b_scaleraw.x",-0.0644762173092476
"4560","b_scaleraw.x",0.144079344401612
"4561","b_scaleraw.x",0.202390244708164
"4562","b_scaleraw.x",0.0250818367561019
"4563","b_scaleraw.x",0.029187818965754
"4564","b_scaleraw.x",0.003017148756071
"4565","b_scaleraw.x",0.0420586630500983
"4566","b_scaleraw.x",0.195446138136549
"4567","b_scaleraw.x",0.0913800740622103
"4568","b_scaleraw.x",0.169990182070931
"4569","b_scaleraw.x",0.0148150976832944
"4570","b_scaleraw.x",0.0988891519706286
"4571","b_scaleraw.x",0.112886629787289
"4572","b_scaleraw.x",0.0643160317587794
"4573","b_scaleraw.x",0.105727379583033
"4574","b_scaleraw.x",0.0915180128866962
"4575","b_scaleraw.x",0.175212948497052
"4576","b_scaleraw.x",0.175210604115878
"4577","b_scaleraw.x",0.0534027922168013
"4578","b_scaleraw.x",0.0673022381080607
"4579","b_scaleraw.x",0.10951368227795
"4580","b_scaleraw.x",0.108625651828766
"4581","b_scaleraw.x",-0.00609878923816264
"4582","b_scaleraw.x",0.236767145294284
"4583","b_scaleraw.x",0.000134216123321981
"4584","b_scaleraw.x",0.0163423393466553
"4585","b_scaleraw.x",0.0966578968136866
"4586","b_scaleraw.x",0.0050827869124381
"4587","b_scaleraw.x",0.143644733684781
"4588","b_scaleraw.x",0.0668769556827637
"4589","b_scaleraw.x",0.0641786063352135
"4590","b_scaleraw.x",0.0188040505060812
"4591","b_scaleraw.x",0.246229757516686
"4592","b_scaleraw.x",-0.00572527725820749
"4593","b_scaleraw.x",0.220753953468802
"4594","b_scaleraw.x",-0.0137994367108498
"4595","b_scaleraw.x",0.0285802820883734
"4596","b_scaleraw.x",0.0217223987186414
"4597","b_scaleraw.x",0.179243557608742
"4598","b_scaleraw.x",0.181429135838246
"4599","b_scaleraw.x",0.0311022969581359
"4600","b_scaleraw.x",0.0263483306435568
"4601","b_scaleraw.x",0.150057383399251
"4602","b_scaleraw.x",0.0325970846267624
"4603","b_scaleraw.x",-0.0337663339794131
"4604","b_scaleraw.x",0.0000733068374835378
"4605","b_scaleraw.x",0.0740659696023684
"4606","b_scaleraw.x",-0.0189801012724476
"4607","b_scaleraw.x",0.00200517026646299
"4608","b_scaleraw.x",0.04296527572955
"4609","b_scaleraw.x",0.0454903008473419
"4610","b_scaleraw.x",0.0563916397307042
"4611","b_scaleraw.x",0.0586381821796049
"4612","b_scaleraw.x",0.0555445093216876
"4613","b_scaleraw.x",0.151521764608775
"4614","b_scaleraw.x",-0.035949995691096
"4615","b_scaleraw.x",0.222639065357378
"4616","b_scaleraw.x",0.0420001510765687
"4617","b_scaleraw.x",0.0555893268280305
"4618","b_scaleraw.x",0.091447960105046
"4619","b_scaleraw.x",0.152966929032911
"4620","b_scaleraw.x",0.0979689903999272
"4621","b_scaleraw.x",0.219234460753515
"4622","b_scaleraw.x",0.121845517549671
"4623","b_scaleraw.x",0.172188366621013
