"","raw.x","suc","tot","time","log.x","prop","obs"
"85",83.33333333,4,10,"Recovery",1.920818753935,0.4,"085"
"86",83.33333333,6,10,"Recovery",1.920818753935,0.6,"086"
"87",83.33333333,6,10,"Recovery",1.920818753935,0.6,"087"
"88",83.33333333,7,10,"Recovery",1.920818753935,0.7,"088"
"89",83.33333333,1,10,"Recovery",1.920818753935,0.1,"089"
"90",83.33333333,0,10,"Recovery",1.920818753935,0,"090"
"91",250,1,10,"Recovery",2.39794000867204,0.1,"091"
"92",250,1,10,"Recovery",2.39794000867204,0.1,"092"
"93",250,6,10,"Recovery",2.39794000867204,0.6,"093"
"94",250,4,10,"Recovery",2.39794000867204,0.4,"094"
"95",250,6,10,"Recovery",2.39794000867204,0.6,"095"
"96",250,4,10,"Recovery",2.39794000867204,0.4,"096"
