"","orient","site",".value"
"160","top - bot","fb",-2.05965655616338
"161","top - bot","fb",-2.03346106533904
"162","top - bot","fb",-2.34090760701001
"163","top - bot","fb",-2.40076041387464
"164","top - bot","fb",-2.06726719623832
"165","top - bot","fb",-1.97980507817062
"166","top - bot","fb",-2.33830510550496
"167","top - bot","fb",-2.39005761336165
"168","top - bot","fb",-1.88927366137198
"169","top - bot","fb",-1.58431929386379
"170","top - bot","fb",-1.90326488255242
"171","top - bot","fb",-2.05860506399388
"172","top - bot","fb",-2.3313216330494
"173","top - bot","fb",-2.32138315108404
"174","top - bot","fb",-2.07824779909372
"175","top - bot","fb",-2.17828938233727
"176","top - bot","fb",-2.1442767065871
"177","top - bot","fb",-2.22432494100507
"178","top - bot","fb",-2.04780956082552
"179","top - bot","fb",-1.25360685121081
"180","top - bot","fb",-1.47544037580857
"181","top - bot","fb",-1.58874864053756
"182","top - bot","fb",-1.53279729521855
"183","top - bot","fb",-1.26407606665909
"184","top - bot","fb",-1.62454233061209
"185","top - bot","fb",-1.64975755599631
"186","top - bot","fb",-1.73990935942321
"187","top - bot","fb",-2.0016206729905
"188","top - bot","fb",-1.33604507651491
"189","top - bot","fb",-1.61046737871944
"190","top - bot","fb",-1.70777911587079
"191","top - bot","fb",-1.75199819048646
"192","top - bot","fb",-1.86600463376555
"193","top - bot","fb",-2.03081279257448
"194","top - bot","fb",-1.9790021765755
"195","top - bot","fb",-2.03653747488107
"196","top - bot","fb",-2.03795298272532
"197","top - bot","fb",-2.40155146530204
"198","top - bot","fb",-2.57153285131636
"199","top - bot","fb",-2.19663904101372
"200","top - bot","fb",-2.52582303388942
"201","top - bot","fb",-2.61302074943876
"202","top - bot","fb",-2.3975318532196
"203","top - bot","fb",-2.31582146888402
"204","top - bot","fb",-2.55679906568541
"205","top - bot","fb",-2.83088203290785
"206","top - bot","fb",-2.34610637266651
"207","top - bot","fb",-2.09412052626291
"208","top - bot","fb",-2.05515730578519
"209","top - bot","fb",-2.09695509704616
"210","top - bot","fb",-2.8305710614149
"211","top - bot","fb",-2.82110028945011
"212","top - bot","fb",-2.75043366263755
"213","top - bot","fb",-2.24509659623047
"214","top - bot","fb",-1.99861403767283
"215","top - bot","fb",-1.96576595540723
"216","top - bot","fb",-1.55512134421002
"217","top - bot","fb",-1.72087354823021
"218","top - bot","fb",-2.09050919174869
"219","top - bot","fb",-2.16169671713557
